Timestamp,Temperature,Humidity
2019/10/27 18:40:35,-24.8,5
2019/10/27 18:40:34,-28.9,7.2
2019/10/27 18:40:33,-20.4,5
2019/10/27 18:40:32,-11.7,5
2019/10/27 18:40:31,2.7,5.5
2019/10/27 18:40:30,10.5,5
2019/10/27 18:40:29,21.4,5
2019/10/27 18:40:28,14.3,10.9
2019/10/27 18:40:27,17.5,7.4
2019/10/27 18:40:26,34.5,13.2
2019/10/27 18:40:25,15.6,6.4
2019/10/27 18:40:24,29.3,5
2019/10/27 18:40:23,9.4,12.4
2019/10/27 18:40:22,8.9,11.9
2019/10/27 18:40:21,4.8,5
2019/10/27 18:40:20,1,5.7
2019/10/27 18:40:19,-3.8,15.3
2019/10/27 18:40:18,-0.7,5.6
2019/10/27 18:40:17,-12.5,11.3
2019/10/27 18:40:16,3.2,15.7
2019/10/27 18:40:15,2.1,6.1
2019/10/27 18:40:14,21.3,5
2019/10/27 18:40:13,12.3,5
2019/10/27 18:40:12,21.9,7.2
2019/10/27 18:40:11,18.1,16.6
2019/10/27 18:40:10,8.6,17
2019/10/27 18:40:09,4.6,23.5
2019/10/27 18:40:08,10.4,20
2019/10/27 18:40:07,4.9,24.9
2019/10/27 18:40:06,14.4,28.2
2019/10/27 18:40:05,32.3,20.5
2019/10/27 18:40:04,14.7,30.3
2019/10/27 18:40:03,24.1,31.1
2019/10/27 18:40:02,14.5,23.1
2019/10/27 18:40:01,32.2,28.6
2019/10/27 18:40:00,13.4,34.8
2019/10/27 18:39:59,24.7,42.3
2019/10/27 18:39:58,26.6,41
2019/10/27 18:39:57,36.6,33.2
2019/10/27 18:39:56,24.7,35.7
2019/10/27 18:39:55,17.8,25.9
2019/10/27 18:39:54,26.2,26.2
2019/10/27 18:39:53,31.9,28.4
2019/10/27 18:39:52,27.2,35.1
2019/10/27 18:39:51,19.8,27.4
2019/10/27 18:39:50,37.1,36.1
2019/10/27 18:39:49,26.8,39.4
2019/10/27 18:39:48,37.3,43
2019/10/27 18:39:47,29.1,34.8
2019/10/27 18:39:46,21.8,32.1
2019/10/27 18:39:45,41.6,39.2
2019/10/27 18:39:44,60,34.3
2019/10/27 18:39:43,59.4,42.9
2019/10/27 18:39:42,60,39
2019/10/27 18:39:41,51.1,30.8
2019/10/27 18:39:40,60,28.1
2019/10/27 18:39:39,60,36.3
2019/10/27 18:39:38,60,42.1
2019/10/27 18:39:37,51.2,51
2019/10/27 18:39:36,39.6,42.2
2019/10/27 18:39:35,59.1,42.2
2019/10/27 18:39:34,40.4,40.5
2019/10/27 18:39:33,51.5,49.8
2019/10/27 18:39:32,60,45.4
2019/10/27 18:39:31,60,51.7
2019/10/27 18:39:30,60,61.1
2019/10/27 18:39:29,60,55.6
2019/10/27 18:39:28,46.2,57.1
2019/10/27 18:39:27,33.9,64.7
2019/10/27 18:39:26,38.5,59.7
2019/10/27 18:39:25,40.2,60
2019/10/27 18:39:24,55.6,51.1
2019/10/27 18:39:23,43,43.4
2019/10/27 18:39:22,60,38.3
2019/10/27 18:39:21,57.9,35.9
2019/10/27 18:39:20,60,42.7
2019/10/27 18:39:19,42.5,43.2
2019/10/27 18:39:18,37.1,45.9
2019/10/27 18:39:17,36.9,40.8
2019/10/27 18:39:16,21.1,49.6
2019/10/27 18:39:15,39.7,52.8
2019/10/27 18:39:14,25.3,62.7
2019/10/27 18:39:13,32,65
2019/10/27 18:39:12,18.9,61.9
2019/10/27 18:39:11,31.6,54.9
2019/10/27 18:39:10,39,47.6
2019/10/27 18:39:09,21,50.3
2019/10/27 18:39:08,38.9,51.8
2019/10/27 18:39:07,43.1,59.7
2019/10/27 18:39:06,41.2,56.7
2019/10/27 18:39:05,26.5,49.2
2019/10/27 18:39:04,19.3,41.3
2019/10/27 18:39:03,15.8,34.5
2019/10/27 18:39:02,33.2,32.3
2019/10/27 18:39:01,33.8,42.1
2019/10/27 18:39:00,21.3,32.6
2019/10/27 18:38:59,35.2,41.2
2019/10/27 18:38:58,24.5,48.1
2019/10/27 18:38:57,30.6,51.9
2019/10/27 18:38:56,26.2,54.5
2019/10/27 18:38:55,39.4,48.5
2019/10/27 18:38:54,38.9,44
2019/10/27 18:38:53,25,42.1
2019/10/27 18:38:52,33.5,45.5
2019/10/27 18:38:51,27.7,49.8
2019/10/27 18:38:50,15.9,40.2
2019/10/27 18:38:49,6.1,32.4
2019/10/27 18:38:48,-1.8,40.7
2019/10/27 18:38:47,2.4,37
2019/10/27 18:38:46,3.6,39.2
2019/10/27 18:38:45,11.4,37.2
2019/10/27 18:38:44,24.2,30.7
2019/10/27 18:38:43,16.7,35.4
2019/10/27 18:38:42,17.4,44.3
2019/10/27 18:38:41,20.2,46.2
2019/10/27 18:38:40,10.3,48.9
2019/10/27 18:38:39,26.4,44.5
2019/10/27 18:38:38,38.7,43.5
2019/10/27 18:38:37,44,51.1
2019/10/27 18:38:36,35.7,56.6
2019/10/27 18:38:35,17.9,58.7
2019/10/27 18:38:34,6.2,58.8
2019/10/27 18:38:33,-1.2,66.7
2019/10/27 18:38:32,-3.2,75.8
2019/10/27 18:38:31,-14.6,85.5
2019/10/27 18:38:30,-34.3,83.3
2019/10/27 18:38:29,-42.8,79.5
2019/10/27 18:38:28,-35.7,78.9
2019/10/27 18:38:27,-42,85.6
2019/10/27 18:38:26,-22.1,77.5
2019/10/27 18:38:25,-8.3,74.9
2019/10/27 18:38:24,-27.7,84.7
2019/10/27 18:38:23,-33.8,89.4
2019/10/27 18:38:22,-43.8,85.6
2019/10/27 18:38:21,-29.7,92.5
2019/10/27 18:38:20,-10.7,85.5
2019/10/27 18:38:19,2,81.1
2019/10/27 18:38:18,4.7,87.6
2019/10/27 18:38:17,12.5,85.9
2019/10/27 18:38:16,2.1,78.6
2019/10/27 18:38:15,-4.5,86.4
2019/10/27 18:38:14,11.8,94.5
2019/10/27 18:38:13,7.4,90.6
2019/10/27 18:38:12,13.2,89.2
2019/10/27 18:38:11,7.7,94.1
2019/10/27 18:38:10,3.3,87.4
2019/10/27 18:38:09,-8.1,92
2019/10/27 18:38:08,-24.7,92.1
2019/10/27 18:38:07,-8.6,100
2019/10/27 18:38:06,1.8,100
2019/10/27 18:38:05,-9.3,100
2019/10/27 18:38:04,7,100
2019/10/27 18:38:03,1.9,100
2019/10/27 18:38:02,19,93.3
2019/10/27 18:38:01,19.5,95.7
2019/10/27 18:38:00,16.7,94.3
2019/10/27 18:37:59,3.7,94.6
2019/10/27 18:37:58,-11.9,94.4
2019/10/27 18:37:57,-1,100
2019/10/27 18:37:56,16.7,97.5
2019/10/27 18:37:55,5.3,95.7
2019/10/27 18:37:54,-10.8,90
2019/10/27 18:37:53,-4.8,90.9
2019/10/27 18:37:52,0.8,94.2
2019/10/27 18:37:51,-14.2,89.9
2019/10/27 18:37:50,-9.3,83.7
2019/10/27 18:37:49,2.1,82.4
2019/10/27 18:37:48,12,80.4
2019/10/27 18:37:47,3.7,75.2
2019/10/27 18:37:46,-0.8,67.2
2019/10/27 18:37:45,14.8,76
2019/10/27 18:37:44,28.5,79.7
2019/10/27 18:37:43,42.8,80.3
2019/10/27 18:37:42,38.4,88.2
2019/10/27 18:37:41,27,93
2019/10/27 18:37:40,35.5,84.6
2019/10/27 18:37:39,18.8,86
2019/10/27 18:37:38,3.1,82.7
2019/10/27 18:37:37,15.3,82.3
2019/10/27 18:37:36,12.1,72.8
2019/10/27 18:37:35,-5,74.6
2019/10/27 18:37:34,-10.5,66.3
2019/10/27 18:37:33,-27.1,67.5
2019/10/27 18:37:32,-21.9,62.3
2019/10/27 18:37:31,-8.9,54.2
2019/10/27 18:37:30,-10.8,54.4
2019/10/27 18:37:29,-12,45.3
2019/10/27 18:37:28,-2.4,37.9
2019/10/27 18:37:27,-13.3,28.5
2019/10/27 18:37:26,-8.1,35.1
2019/10/27 18:37:25,-7.1,41.4
2019/10/27 18:37:24,-19,32.2
2019/10/27 18:37:23,-29.6,22.9
2019/10/27 18:37:22,-14.4,22.1
2019/10/27 18:37:21,-0.9,25.7
2019/10/27 18:37:20,-0.9,16.3
2019/10/27 18:37:19,-7.9,22.7
2019/10/27 18:37:18,-9.4,31.6
2019/10/27 18:37:17,-1.6,22
2019/10/27 18:37:16,-15.7,19.2
